id	value	tol	tier	where
# Every number that appears in the blog post, with the value as written there.
# run_all.py diffs this against what the scripts compute. The scripts never read
# this file, so agreement is a real check rather than a tautology.
#
# tier  P  quoted from the paper, verified present in its text        (01)
#       A  arithmetic on paper-reported values                        (01)
#       D  computed from the released data                            (02, 03)
#       S  read out of the authors' released source code              (04)
#       R  computed from our own model runs                           (05, 06, 07, 08)
#       E  eyeballed off a raster figure panel - cannot be automated
#       M  run by hand, see README
#
# tol   blank = must match exactly. A number = permitted absolute difference,
#       used only where the quantity is genuinely unstable and the README says
#       why. Three rows have one; nothing else is allowed to drift.
#
# where "[cut]" marks a value the FINAL post does not quote. It was in an
#       earlier draft, it still computes, and it still has to match - but a
#       MISMATCH on a [cut] row is a drift in the underlying data, not an error
#       in the post. Roughly a third of the registry is [cut]: the post was
#       rewritten shorter and dropped the DIAMOND e-value detail, the control
#       tables, the dipeptide baseline and the parameter counts.
#
# --- what the paper reports -------------------------------------------------
paper.fpr_pct	0.014% false positives		P	"their own reported rate is 0.014%"
paper.fnr_pct	1.72% false negatives		P	[cut] background, Figure 1B
paper.n_proteins_screened	144.6 million proteins		P	"Against 144.6 million proteins"
paper.n_calls	792,436		P	[cut] "from which it called 792,436 putative RdRps"
paper.n_shared_contigs	512,690		P	"99.9% of the viral contigs were found by both"
paper.n_unique_contigs	444		P	"444 contigs and 23 supergroups that only LucaProt found"
paper.n_unique_supergroups	23 supergroups		P	same sentence
paper.n_metatranscriptomes	10,487		P	intro, "10,487 metatranscriptomes"
paper.n_species	161,979		P	intro, "161,979 new viral species"
paper.n_supergroups	180 RNA viral super-		P	intro, "180 supergroups"
paper.n_negatives	229,434		P	[cut] not quoted directly; underpins section 5.2
paper.rt_stated	n=48,490		P	[cut] "the paper says there are 48,490 reverse transcriptases"
paper.ablation_no_esm2	44.5%		P	"if you remove ESM-2, the recall drops to 44%" (post rounds)
paper.fold_expansion	8.6-fold expansion		P	"This is an 8.6-fold expansion of RNA virus diversity"
paper.ictv_supergroups	21 contained those from viral phyla/classes		P	"only 21 contain anything currently classified by the ICTV"
paper.rtpcr_new	Supergroup102, Supergroup167, Supergroup175		P	"RT-PCR validation, but only on 5 groups"
